sample_id	cluster_id	size	mean	std
PD056_F2_1709_pyclone	34	1	0.589786058503786	0.2252186243018558
PD056_F0_1636_pyclone	34	1	0.5726838326477206	0.22902435544643177
PD056_56_T_pyclone	34	1	0.16557253829294136	0.08911921954816267
PD056_F2_1709_pyclone	35	1	0.27453344249740885	0.23947427385422443
PD056_F0_1636_pyclone	35	1	0.18268114964959192	0.2141854397641503
PD056_56_T_pyclone	35	1	0.4521918042134807	0.24535536137932049
PD056_F2_1709_pyclone	36	1	0.624415299543307	0.21958897639965344
PD056_F0_1636_pyclone	36	1	0.5359497601210534	0.2535954756635086
PD056_56_T_pyclone	36	1	0.23804874101760964	0.13650155376939968
PD056_F2_1709_pyclone	37	1	0.47332166532137776	0.27586259890641435
PD056_F0_1636_pyclone	37	1	0.48910894300397684	0.26393989394139084
PD056_56_T_pyclone	37	1	0.11603552198344123	0.07849800645605862
PD056_F2_1709_pyclone	38	1	0.6025323758609222	0.24114740997201983
PD056_F0_1636_pyclone	38	1	0.25795590773149085	0.2394245596972199
PD056_56_T_pyclone	38	1	0.2616626841124489	0.09649559179462412
PD056_F2_1709_pyclone	39	1	0.501121446725346	0.2969535150790514
PD056_F0_1636_pyclone	39	1	0.4605438425212778	0.291439234630561
PD056_56_T_pyclone	39	1	0.16737330536181236	0.1103856033274561
PD056_F2_1709_pyclone	40	2	0.52652076008434	0.2794232325896731
PD056_F0_1636_pyclone	40	2	0.5252321059748385	0.24049953597621038
PD056_56_T_pyclone	40	2	0.00882530218991368	0.013811553968613471
PD056_F2_1709_pyclone	41	1	0.532195993182449	0.28440495216534917
PD056_F0_1636_pyclone	41	1	0.526169725595756	0.27743088134060706
PD056_56_T_pyclone	41	1	0.10478443562766268	0.0722981710992093
PD056_F2_1709_pyclone	42	1	0.457209048635935	0.3176042211795917
PD056_F0_1636_pyclone	42	1	0.2512147209482227	0.23683545599077604
PD056_56_T_pyclone	42	1	0.2912463561345907	0.1834606459453376
PD056_F2_1709_pyclone	43	19	0.4336115268809408	0.051816593307449206
PD056_F0_1636_pyclone	43	19	0.4606014414643926	0.05063281946196026
PD056_56_T_pyclone	43	19	0.06487515321619097	0.01108847229939095
PD056_F2_1709_pyclone	44	1	0.6034700474569754	0.22042546926082873
PD056_F0_1636_pyclone	44	1	0.5825129355184561	0.2299661755456738
PD056_56_T_pyclone	44	1	0.10692366213159953	0.07920381452202266
PD056_F2_1709_pyclone	45	2	0.6597667512084597	0.22827020627787545
PD056_F0_1636_pyclone	45	2	0.35735424196805166	0.178903826424108
PD056_56_T_pyclone	45	2	0.012184825933164214	0.01688481809280894
PD056_F2_1709_pyclone	46	1	0.48290220197065176	0.2974670227721493
PD056_F0_1636_pyclone	46	1	0.4684883016894128	0.28235820331648454
PD056_56_T_pyclone	46	1	0.08801377333364199	0.06608587429185082
PD056_F2_1709_pyclone	47	75	0.9787793379989622	0.011379627565661974
PD056_F0_1636_pyclone	47	75	0.9918367483029384	0.010578456557727952
PD056_56_T_pyclone	47	75	0.12273244149190626	0.009595701754595013
PD056_F2_1709_pyclone	48	1	0.5070664681189793	0.24851804946119266
PD056_F0_1636_pyclone	48	1	0.6279811577923287	0.23497538447145386
PD056_56_T_pyclone	48	1	0.03002032758039934	0.03782080047324978
PD056_F2_1709_pyclone	49	1	0.524439991601812	0.27567899040166466
PD056_F0_1636_pyclone	49	1	0.5202577473841097	0.2653303087944997
PD056_56_T_pyclone	49	1	0.25508510575896837	0.1355365724864786
PD056_F2_1709_pyclone	50	1	0.43363023856144983	0.257872624149715
PD056_F0_1636_pyclone	50	1	0.5212463342180549	0.27836420302015863
PD056_56_T_pyclone	50	1	0.2959332889718948	0.15263441190655805
PD056_F2_1709_pyclone	51	1	0.5869475799333465	0.2233450655374145
PD056_F0_1636_pyclone	51	1	0.5601028515072446	0.24144070610163534
PD056_56_T_pyclone	51	1	0.24780763323196567	0.1092249959249658
PD056_F2_1709_pyclone	52	42	0.11892980568799075	0.012435461033647592
PD056_F0_1636_pyclone	52	42	0.1386644365730797	0.014601610011740825
PD056_56_T_pyclone	52	42	0.11648188745833465	0.0076278871782271785
PD056_F2_1709_pyclone	53	1	0.4765104749173281	0.2941852750561248
PD056_F0_1636_pyclone	53	1	0.4971619858746966	0.2898958373886696
PD056_56_T_pyclone	53	1	0.30821789018047696	0.20773929744684178
PD056_F2_1709_pyclone	54	1	0.5132776746502963	0.2639700616884343
PD056_F0_1636_pyclone	54	1	0.49164248359904555	0.2842922516567548
PD056_56_T_pyclone	54	1	0.0912083494765992	0.06831251771260204
PD056_F2_1709_pyclone	55	1	0.5219084665300799	0.2744659641077709
PD056_F0_1636_pyclone	55	1	0.5846042438899719	0.22811165008755538
PD056_56_T_pyclone	55	1	0.21703375409852502	0.12084909387117088
PD056_F2_1709_pyclone	56	1	0.5201618234989418	0.28231000674678813
PD056_F0_1636_pyclone	56	1	0.5826542257277453	0.23670856439500532
PD056_56_T_pyclone	56	1	0.23971265693176858	0.1198439514990421
PD056_F2_1709_pyclone	57	22	0.23262778755834146	0.01965555570399623
